SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQCriteriaCode,Section,EQCriteriaSectionHeader,EQCriteriaType,EQCriteriaDescription,Sequence
Health and Physical Education,Physical Education,,,Year 12,Final Exam,,,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",,,A,Multiple-choice questions,,,1
Health and Physical Education,Physical Education,,,Year 12,Final Exam,,,"VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",,,B,Written responses,,,2
