SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Local, national and/or global perspectives on the selected issue",,1,13
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Historical, current and future implications of the selected issue.",,1,14
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KS,Outcome 2,PE Students,,Key Skills,"Explain contemporary intrapersonal and interpersonal issues associated with access to, and inclusion, participation and performance in, physical activity and sport",,1,1
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KS,Outcome 2,PE Students,,Key Skills,"Collect information on a range of intrapersonal and interpersonal issues from a variety of resources, such as primary data, and print and electronic media",,1,2
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KS,Outcome 2,PE Students,,Key Skills,"Propose ethical strategies to enhance access to, and inclusion, participation and performance in, physical activity and sport",,1,3
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KS,Outcome 2,PE Students,,Key Skills,"Prescribe, participate in and reflect on movement experiences that illustrate different perspectives on the selected issue",,1,4
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,,VCEPEU2AS2O2KS,Outcome 2,PE Students,,Key Skills,"Analyse the historical, current and future implications of the selected issue.",,1,5
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Classification of movement skills, including fundamental movement skills, sport-specific skills, open and closed skills, gross and fine skills, and discrete, serial and continuous motor skills",,1,1
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"The link between motor skill development, participation and performance",,1,2
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Considerations when coaching to enhance participation and performance:,,1,3
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Sociocultural factors that affect skill development,,1,4
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Characteristics of the 3 stages of learning (cognitive, associative and autonomous)",,1,5
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Theories of skill acquisition (linear vs non-linear) applied through direct and constraint-based approaches,,1,6
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Psychological skills (confidence, motivation, optimal arousal and concentration) and accompanying strategies",,1,7
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Scheduling of practice including type (part and whole), distribution (massed and distributed) and variability (blocked and random)",,1,8
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Frequency and type of feedback including intrinsic and augmented (knowledge of results and knowledge of performance),,1,9
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Biomechanical principles for analysis of human movement:,,1,10
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Linear and angular concepts of human movement including force/torque, momentum, impulse and speed/velocity",,1,11
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Newton’s 3 laws of linear motion: inertia, acceleration and action-reaction",,1,12
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Projectile motion (height, angle and speed of release)",,1,13
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Anatomical third-class levers (axis, force, resistance and mechanical advantage)",,1,14
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Equilibrium: stability (centre of gravity, base of support and line of gravity)",,1,15
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Qualitative movement analysis stages (preparation, observation, evaluation and error correction).",,1,16
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KS,Outcome 1,PE Students,,Key Skills,Analyse primary data,,1,1
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KS,Outcome 1,PE Students,,Key Skills,Analyse and classify movement skills,,1,2
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KS,Outcome 1,PE Students,,Key Skills,"Analyse the link between motor skill development, participation and performance",,1,3
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KS,Outcome 1,PE Students,,Key Skills,"Participate in, describe and develop coaching strategies to enhance participation and performance, considering the needs of the learner and the performance requirements of the skill",,1,4
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KS,Outcome 1,PE Students,,Key Skills,"Analyse, interpret and apply graphical, visual and physical representations of biomechanical principles to improve movement skills",,1,5
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,,VCEPEU3AS1O1KS,Outcome 1,PE Students,,Key Skills,Perform a qualitative movement analysis of a movement skill using video and systematic observation to analyse and improve a variety of movement skills.,,1,6
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Oxygen uptake at rest and during physical activity and recovery, including oxygen deficit, steady state and excess post-exercise oxygen consumption (EPOC)",,1,1
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Acute physiological responses to exercise in the cardiovascular, respiratory and muscular systems",,1,2
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The 3 energy systems (ATP-CP, anaerobic glycolysis and aerobic), including their fuels (chemical and food); rate and yield of each system; their contribution at rest and varying intensities; and recovery rates associated with active and passive recovery",,1,3
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The interplay of energy systems in relation to the intensity and duration of physical activity, sport and exercise",,1,4
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Muscular fatigue mechanisms, including fuel depletion, accumulation of metabolic by-products and thermoregulatory fatigue linked to varied sport and exercise intensities and durations",,1,5
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Nutritional and hydration strategies used to enhance performance, delay fatigue and improve recovery, including carbohydrate ingestion, protein and water.",,1,6
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KS,Outcome 2,PE Students,,Key Skills,"Explain the changes in oxygen supply and demand at rest, and during sub-maximal and maximal exercise",,1,1
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KS,Outcome 2,PE Students,,Key Skills,Participate in laboratory activities to collect and analyse data on the range of physiological responses the body experiences during exercise,,1,2
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KS,Outcome 2,PE Students,,Key Skills,"Perform, observe, analyse and report on practical activities designed to explore the relationship between the energy systems during activity and recovery",,1,3
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KS,Outcome 2,PE Students,,Key Skills,"Participate in physical activity, sport and exercise to describe, using appropriate terminology, the interplay and relative contribution of the 3 energy systems",,1,4
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KS,Outcome 2,PE Students,,Key Skills,Explain the muscular fatigue mechanisms associated with the use of the 3 energy systems and the individual and environmental factors that influence fatigue under various intensities and durations,,1,5
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS2,,Area of Study 2 - How does the body produce energy?,,VCEPEU3AS2O2KS,Outcome 2,PE Students,,Key Skills,"Describe nutritional and hydration strategies and how these are used to enhance performance, delay fatigue and improve recovery.",,1,6
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Types of data collected from an activity analysis, including skill frequencies, movement patterns, heart rates and work-to-rest ratios used to identify physiological requirements",,1,1
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Factors affecting fitness components required in physical activity, sport or exercise (aerobic power, anaerobic capacity, muscular strength, power and endurance, flexibility, balance, coordination, speed and agility)",,1,2
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Assessment of fitness for an activity:,,1,3
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,The purpose of fitness testing from physiological and psychological perspectives,,1,4
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Pre-participation health screening and informed consent,,1,5
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Standardised, recognised fitness tests that test appropriately identified physiological requirements",,1,6
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Test reliability, validity and accuracy.",,1,7
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KS,Outcome 1,PE Students,,Key Skills,Undertake an activity analysis and analyse associated data to justify the necessary physiological requirements,,1,1
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KS,Outcome 1,PE Students,,Key Skills,"Justify the selection of standardised, recognised fitness tests for the specific physiological requirements of the activity",,1,2
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS1,,Area of Study 1 - What are the foundations of an effective training program?,,VCEPEU4AS1O1KS,Outcome 1,PE Students,,Key Skills,"Perform and observe a reliable, valid and accurate assessment of fitness.",,1,3
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Strategies to monitor and record physiological, psychological and sociological training data, including training diaries, digital tools and wearable technologies",,1,1
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Components of an exercise training session, including warm up, the conditioning phase and cool down",,1,2
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Training program principles, including frequency, intensity, time/duration, type, progression, specificity, individuality, diminishing returns, variety, maintenance, tapering, overtraining and detraining",,1,3
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Training methods, including continuous, interval (short, intermediate, long and HIIT), fartlek, circuit, weight/resistance, flexibility and plyometrics",,1,4
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Chronic adaptations of the cardiovascular, respiratory and muscular systems to aerobic, anaerobic and resistance training that produce improvements in:",,1,5
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,VO2 max,,1,6
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,Lactate inflection point (LIP),,1,7
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,Speed and force of muscular contraction,,1,8
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KK,Outcome 2,PE Students,,Key Knowledge,Lactate tolerance.,,1,9
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KS,Outcome 2,PE Students,,Key Skills,"Participate in and reflect on training sessions by recording physiological, psychological and sociological data in a reflective folio",,1,1
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KS,Outcome 2,PE Students,,Key Skills,Participate in and conduct components of an exercise training session,,1,2
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KS,Outcome 2,PE Students,,Key Skills,Design a training program that demonstrates the correct application of training principles and methods to enhance and/or maintain fitness components,,1,3
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KS,Outcome 2,PE Students,,Key Skills,Analyse training data to identify and prescribe appropriate modifications to a training program,,1,4
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KS,Outcome 2,PE Students,,Key Skills,Evaluate and critique the effectiveness of different training programs,,1,5
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS2,,Area of Study 2 - How is training implemented effectively to improve fitness?,,VCEPEU4AS2O2KS,Outcome 2,PE Students,,Key Skills,"Explain how the chronic adaptations of the cardiovascular, respiratory and muscular systems to training lead to improved performance.",,1,6
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS3,,Area of Study 3 - Integrated movement experiences,,VCEPEU4AS3O3KK,Outcome 3,PE Students,,Key Knowledge,The integration of theory and practice utilised in and through participation in practical activity,,1,1
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS3,,Area of Study 3 - Integrated movement experiences,,VCEPEU4AS3O3KK,Outcome 3,PE Students,,Key Knowledge,"Interdisciplinary learning that connects knowledge related to skill acquisition, biomechanics, energy production and training and the impacts these have on performance.",,1,2
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS3,,Area of Study 3 - Integrated movement experiences,,VCEPEU4AS3O3KS,Outcome 3,PE Students,,Key Skills,Reflect on primary data from participation in a practical activity,,1,1
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS3,,Area of Study 3 - Integrated movement experiences,,VCEPEU4AS3O3KS,Outcome 3,PE Students,,Key Skills,Use primary data to demonstrate integration of theory and practice,,1,2
Health and Physical Education,PE,,,Year 12,Unit 4,Training to improve performance,VCEPEU4AS3,,Area of Study 3 - Integrated movement experiences,,VCEPEU4AS3O3KS,Outcome 3,PE Students,,Key Skills,"Analyse interrelationships between skill acquisition, biomechanics, energy production and training knowledge for the practical activity completed in consideration of/in relation to the impacts these have on performance between movement skills or performers.",,1,3
