SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,,,,,,,,,Header,,Health and Physical Education - Health and Human Development,Health and Human Development - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/health-and-human-development/teaching-and-learning,0
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1,,,,,UnitHeading,"Unit 1 Understanding health and wellbeing
 
Area of Study 1: Concepts of health",,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to explain multiple dimensions of health and wellbeing, explain indicators used to measure health status and analyse sociocultural factors that contribute to variations in the health status of youth.",,,,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,"Discuss what health and wellbeing means to you: when someone asks 'How are you?' they are politely asking about your health and wellbeing. A response might be quick and automatic but think about answers such as 'well', 'not bad' or 'good', and what exactly they mean. Make a list of what it takes to truly feel in 'good' health.",,,,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Investigate and deconstruct the World Health Organization's (WHO) definition of health: 'A state of complete physical, mental, and social wellbeing and not merely the absence of disease or infirmity'. Discuss the meaning of each element in isolation and write your own definition of your own understanding of health.",,,,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Health and wellbeing have been subject over many years to different definitions and philosophies. Research a range of definitions of health and wellbeing and display these. Choose a definition that resonates with you and compare it with a definition favoured by another student. Construct a Venn diagram showing similarities and differences between the two definitions.,,,,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Create a concept map or infographic to show that there are physical, social, emotional, mental and spiritual dimensions to the concept of health and wellbeing, what every dimension represents, and how they are related to one another. Concept mapping software such as SmartDraw, Visio, Inspiration, MindManager, Mind42, MindMeister, Mindomo, or Bubbl.us can be used to develop a concept map or to create an infographic use Canva or Piktochart.",,,,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Write a short story or a scene for a movie/play that features people with various strengths and challenges related to their health and wellbeing. Annotate the piece to show which dimensions of health and wellbeing are motivating or affecting the characters: physical, social, emotional, mental and/or spiritual.",,,,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Use Google Images or Flickr to collect a number of images of each of the WHO prerequisites for health. Write a few words in response to each image on how positive health outcomes can be promoted. Collate the words for each image using Wordcloud. Display the images around the classroom.,,,,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Visit Gapminder's Dollar Street and undertake a comparison of three families (high-, middle- and low-income) by clicking on the family button. Undertake an audit of their resources mapped against the WHO prerequisites for health. Reflect on how the prerequisites contribute to positive health outcomes",,,,10
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"In small groups, rank the WHO prerequisites for health from most important to least important. Report each group's thoughts back to class and, as a class, reflect on whether this was a difficult task.",,,,11
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,,12
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,What do you care most about?,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,13
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Is your health important to you?,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,14
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,What does it mean to be healthy/well?,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,15
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Collate class data and draw some generalised conclusions about youth perspectives on health and wellbeing. Compare collected data against national data collected in Mission Australia's youth survey looking for similarities and differences.,,,,16
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Reflect on individual attitudes and perceptions of physical, social, emotional, mental and spiritual health by explaining each one and ranking the dimensions according to how important they are. Then find and present some case studies of attitudes/perceptions of each dimension of health and wellbeing that differ from your own.",,,,17
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,Analyse Aboriginal and Torres Strait Islander perspectives on health and wellbeing by comparing the definition used in the Aboriginal and Torres Strait Islander Health Plan with the WHO definition for health.,,,,18
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Paragraph,"'Aboriginal health means not just the physical wellbeing of an individual but refers to the social, emotional and cultural wellbeing of the whole Community in which each individual is able to achieve their full potential as a human being, thereby bringing about the total wellbeing of their Community. It is a whole-of-life view and includes the cyclical concept of life-death-life.'",,,,19
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Paragraph,Create a Venn diagram highlighting similarities and differences between the two definitions and discuss how this shows different perspectives.,,,,20
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,"Analyse Aboriginal and Torres Strait Islander perspectives on health and wellbeing by comparing the listed priorities of the Aboriginal and Torres Strait Islander Health Plan with your own priorities, and answering the question: 'What do I need to promote positive health outcomes?'",,,,21
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,"Discuss whether the following statement applies to every Australian, not just the Indigenous community: 'To us, health is about so much more than simply not being sick. It's about getting a balance between physical, mental, emotional, cultural and spiritual health. Health and healing are interwoven, which means that one can't be separated from the other' (Dr Tamara Mackean, Australian Indigenous Doctors' Association, cited by Creative Spirits.",,,,22
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Consider the social and cultural determinants of health for Aboriginal and Torres Strait Islander as described in Aboriginal and Torres Strait Islander Health Plan. Detail how these determinants represent Aboriginal and Torres Strait Islanders' attitudes towards health and health care by creating a graphic organiser or annotated poster. Focus on highlighting concepts of social justice and equity in this information.,,,,23
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Access the most recent edition of Injury in Australia report. Define and explain the use of each of the following measures of health status: incidence, prevalence of health conditions, morbidity, hospitalisation rates, burden of disease, mortality, life expectancy, core activity limitation, psychological distress and self-assessed health status.",,,,24
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"'Research has shown that self-assessed health is a predictor of mortality and morbidity' (Australian Bureau of Statistics 2007). Access the most recent ABS 'Self-assessed health in Australia: A snapshot' report; produce a short, written report or visual presentation to identify the factors that influence Australians' assessment of their own health status and to explain the meaning of the above quote.",,,,25
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"As a class, brainstorm the topic: 'What is health and wellbeing data for?' Explore the latest health data in the latest Australian Institute of Health and Welfare publication of Australia's Health and summarise some key findings.",,,,26
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,Investigate and identify the health status and health risks for young Australians using the latest data from the Australian Institute of Health and Welfare; Health of young people Collate class findings on a shared class Google Drive or One Drive or SharePoint.,,,,27
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Watch an episode of the ABC documentary series Keeping Australia Alive (2016) on ClickView. Map all the examples of sociocultural factors making a difference to young people's health status and their access to health care.,,,,28
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"As a class, list factors that potentially influence individuals' health outcomes. Highlight all factors in this list that might be considered 'sociocultural'. Use Google Images or Flickr to collect images that represent each factor and write next to each image a possible health consequence of that factor.",,,,29
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,Analyse the following two statements from VicHealth:,,,,30
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,'We recognise that the social and economic conditions for all people influence their health'.,Analyse the following two statements from VicHealth:,,,31
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,'We promote fairness and opportunity for better health'.,Analyse the following two statements from VicHealth:,,,32
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"In groups, research one of the following sociocultural factors: peer group, education, income, and health literacy. Discuss how and why the factor can make a difference to health and wellbeing and health status. Each group presents their findings to the class through a visual presentation using iMovie, Prezi or PowerPoint.",,,,33
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,"Analyse the following statement within the context of sociocultural influences on health and wellbeing: 'The data tells us there is no employment gap, no employment gap between Indigenous Australians and non-indigenous Australians with a university degree'. (Prime Minister's Closing the Gap speech, February 2017). The ABC News labelled the above quote a 'window of hope' for Aboriginal health.",,,,34
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,DetailedExample,Paragraph,Visual presentation: sociocultural influences on health and wellbeing,,,,35
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,DetailedExampleStep,Paragraph,"As an introduction to the activity, discuss the concept of 'sociocultural' as a combination of social and cultural factors that contribute to health and wellbeing. Ask students to consider the following quote and create a concept map of their own 'sociocultural context': 'Children grow up in specific physical, social, cultural, economic and historical circumstances - their sociocultural context' (Open University).",,,,36
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,DetailedExampleStep,Paragraph,"Divide the class into groups and brainstorm one of the following sociocultural factors: peer group, education, income, and health literacy. Ask students to consider how each factor might influence health and wellbeing. They should particularly think about how this factor might make a difference to Australian youth.",,,,37
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,DetailedExampleStep,Paragraph,"With a focus on their allocated sociocultural factor, students research differences in health status among Australian youth, drawing evidence-based conclusions about risk factors and protective factors. (The AIHW publication Health of young people is good source of data.) While researching, each group should plan a visual presentation of their topic, collecting images and ideas that will assist them to share their findings with the class.",,,,38
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,DetailedExampleStep,Paragraph,"Findings and conclusions are shared with the class via a visual presentation such as: a short video, a roleplay or other dramatic presentation, a website or social media presentation or a display of images. For example, students could use iMovie, Prezi, PowerPoint, Animoto or Padlet to create display of images.",,,,39
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,DetailedExampleStep,Paragraph,Area of Study 2: Youth health and wellbeing,,,,40
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,,,OutcomeDescription,"On completion of this unit, the student should be able to interpret data to identify key areas for improving youth health and wellbeing, and analyse one youth health area in detail.",,,,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KS,Activity,Bullet,"Consider the following quote and discuss the importance of the youth stage of life in promoting health outcomes: 'Many of the attitudes and behaviours - even the illnesses - that largely determine adult health and wellbeing have their origins in childhood, adolescence and early adulthood' (AIHW 2011). Discus whether these words should be a 'call to action'.",,,,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Review a recent film, television drama or documentary that has youth health and wellbeing as a central theme, such as BTN High Worries or Old peoples home for teenagers While doing this, consider the following guidelines: Does it show a good understanding of adolescence? How did it made you feel? Would you recommend it to friends? Entries could be recorded on a class or individual blog, such as Edublogs",,,,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Access the eSafety commission program for intergenerational learning: Be Connected: Young Mentors. Consider the benefits for improving youth health and wellbeing through participation in this program.,,,,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Consider the quote, 'Young people have to work through a broad range of issues as they move from childhood to adulthood' (Better Health Channel). Access 'Teenage Health'; the summary at the top lists ten areas of concern for young people; use it as a starting point to create your own 'Top 5' issues of adolescence.",,,,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Compile a collection of recent news reports that relate to youth health and wellbeing across all dimensions. As a class, use the reports to draw two conclusions: whether media reports about youth tend to be positive or negative and what the major health 'issues' are for youth, as perceived by the news media. Critique this portrayal of your age group in terms of relevance, fairness and accuracy.",,,,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Practise data interpretation together in small groups using a series of straightforward but varied graphs and tables relating to health status. Answer questions on the meaning of the data as well as its potential use in the promotion of health and wellbeing.,,,,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KS,Activity,Bullet,"Interpret a series of key graphs from 'Health status' from AIHW webpage Health of young people. As a class, pinpoint some statistical trends and draw conclusions relating to the health status of Australian youth.",,,,10
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Access AIHW's Health of young people webpage and examine the information on health status and health risk factors. Create a brief report on key findings, under the headings 'The good news' and 'Things to work on'.",,,,11
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Find and share examples of statistics/data that show variations in the health status of different groups of Australian young people.,,,,12
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Survey the class to find out what young people are concerned about in terms of their health and wellbeing. The survey can be conducted in person or using an online poll using Google Forms. Record the results of the survey in a class Google Classroom.,,,,13
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Investigate the most recent youth survey at Mission Australia Youth survey. Describe the data provided and what the data is used for. Create an infographic to summarise the results of the most recent survey, with a focus on what young Australians consider to be the top issues they face.",,,,14
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Investigate the following research related to youth and their online experiences through the eSafety Commissioner website: Digital lives of young people living with a disability, Online gaming for children and young people, Online experiences of Aboriginal & Torres Strait Islander children, parents & caregivers, Young peoples attitudes towards online pornography and age assurance",,,,15
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Invite a guest speaker who works in the field of youth health and wellbeing (doctor, nurse, psychologist, counsellor, social worker, youth worker etc.). In groups, prepare questions relating to a chosen area of research.",,,,16
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Find and/or create case studies of young people who have benefited from accessing a program targeting youth health and wellbeing; these can be written or taped interviews or testimonials, edited to protect privacy as appropriate.",,,,17
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Access the Victorian Government's Youth Central website. In groups, select different programs that have a focus on youth health and wellbeing; prepare a report for the government (a short video, podcast or written report), evaluating and rating the program and advising the government on future initiatives.",,,,18
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Paragraph,"Investigate government and non-government youth programs in the local area. As a class, compile a guide to youth support services, with a brief description and evaluation of each. What do they do and how are they funded? Collate class findings on a shared class Google Drive or One Drive or SharePoint.",,,,19
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Find and share news articles or video clips that feature community concern and criticism related to youth health programs or proposals; examples could include the Safe Schools program, the Doctors in Secondary Schools program, and debates around pill testing at entertainment venue. Compile examples of changes that have been made to programs because of community concerns.",,,,20
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KS,Activity,Bullet,"Discuss and debate the following statement: 'When there's a fuss about young people it's always about sex or drugs, like they don't trust us not to be idiots'.",,,,21
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"Brainstorm the range of costs of ill-health and injury to the Australian community. Consider things like treatment, sick leave and inability to participate in community events. Access the following websites to conduct research to add to the original brainstorm:",,,,22
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Economic benefits of prevention,"Brainstorm the range of costs of ill-health and injury to the Australian community. Consider things like treatment, sick leave and inability to participate in community events. Access the following websites to conduct research to add to the original brainstorm:",,,23
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Volunteering,"Brainstorm the range of costs of ill-health and injury to the Australian community. Consider things like treatment, sick leave and inability to participate in community events. Access the following websites to conduct research to add to the original brainstorm:",,,24
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Average day in our healthcare system,"Brainstorm the range of costs of ill-health and injury to the Australian community. Consider things like treatment, sick leave and inability to participate in community events. Access the following websites to conduct research to add to the original brainstorm:",,,25
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"In small groups, create a case study of an individual suffering from an illness or injury of your choosing. Track the person through a typical week of work, school and any other recreational or family activities, and normal weekly chores. Annotate where the illness or injury will impact the performance of those activities and note when there may be an actual out pf pocket expense incurred. Share with other groups to create a summary of typical costs associated with ill-health. Categorise the costs into direct, indirect and intangible.",,,,26
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Find and document examples of young people involved in youth health advocacy Create a poster outlining their actions.,,,,27
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,,28
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,ESafety Commissioner Online safety for young people,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,29
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Quit Victoria Vaping,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,30
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,Area of Study 2 - Youth health and wellbeing,Outcome 2,VCEHHDU1AS2O2KK,Activity,Bullet,Our watch Respectful relationships,"In preparation for detailed research into one area of youth health and wellbeing, familiarise yourself with a range of state and national organisations and programs that support and promote youth health. Consider the influences that led to the creation and implementation of each program, and access to, programs that target youth health. The following are some examples of organisations and issues to explore:",,,31
