SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Data such as incidence, prevalence and trends",,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Risk and protective factors,,1,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Healthcare services and support,,1,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Government and community programs and personal strategies to reduce negative impact,,1,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Direct, indirect and intangible costs to individuals and/or communities",,1,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Opportunities for youth advocacy and action on a personal and community level to improve outcomes in terms of health and equity.,,1,10
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Identify key areas for action and improvement in youth health and wellbeing using research to interpret data,,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Analyse factors that contribute to inequalities in the health status of Australia’s youth,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Analyse factors that influence the creation and implementation of, and access to, programs that target youth health such as equity, social justice, community values and funding",,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Research, collect and analyse data on one health focus relating to youth, examining its impact, management, advocacy and costs.",,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KK,Outcome 3,Health and Human Development Students,,Key Knowledge,"The function and food sources of major nutrients important for health outcomes, such as carbohydrates (including fibre), fats, proteins, water, vitamin C, vitamin D, iron, calcium, sodium and folate",,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KK,Outcome 3,Health and Human Development Students,,Key Knowledge,"The use of food selection models and other initiatives to promote healthy eating among youth, such as the Australian Guide to Healthy Eating, the Healthy Eating Pyramid and the Health Star Rating system",,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KK,Outcome 3,Health and Human Development Students,,Key Knowledge,Sources of nutrition information and methods to evaluate its validity,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS3,,Area of Study 3 - Health and nutrition,,VCEHHDU1AS3O3KK,Outcome 3,Health and Human Development Students,,Key Knowledge,"Sociocultural factors, including commercial factors, that act as enablers of or barriers to healthy eating among youth, with a focus on the tactics used in the marketing and promotion of food to youth.",,1,4
