SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Explain the individual, national and global importance of health and wellbeing as a resource",,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Interpret and apply indicators used to measure health status,,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Use data to evaluate the health status of Australians,,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Describe how examples of biological, sociocultural and environmental factors can influence health outcomes",,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS1,,Area of Study 1 - Understanding health and wellbeing,,VCEHHDU3AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Analyse health information to explain how factors can contribute to variations in health status between population groups.,,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Reasons for improvements in Australia’s health status since 1900, focusing on:",,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,‘old’ public health,,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,The biomedical approach to health and improvements in medical technology,,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,The concept of the social model of health and the Ottawa Charter for Health Promotion (not including the principles of the social model of health),,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,The role of health promotion in improving population health,,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Programs to improve Aboriginal and Torres Strait Islander Peoples’ health, including how they promote social justice",,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Initiatives to promote healthy eating in Australia, including the Australian Dietary Guidelines, the Australian Guide to Healthy Eating and the Aboriginal and Torres Strait Islander Guide to Healthy Eating",,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Challenges in bringing about nutritional change, including sociocultural, environmental and commercial factors",,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Australia’s health system, including Medicare, private health insurance, the Pharmaceutical Benefits Scheme (PBS) and the National Disability Insurance Scheme (NDIS), and its role in promoting health in terms of funding, sustainability, access and equity.",,1,9
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Analyse data that shows improvements in health over time and draw conclusions about reasons for improvements,,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Explain how initiatives of ‘old’ public health and the social model of health, including those reflecting action areas of the Ottawa Charter for Health Promotion, could lead to improved health outcomes",,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Describe the relationship between biomedical and social models of health, including the strengths and limitations of each",,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Analyse a range of data, case studies and examples of health promotion programs in relation to the use of action areas of the Ottawa Charter for Health Promotion and how they can lead to improved health outcomes",,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Analyse initiatives introduced to improve Aboriginal and Torres Strait Islander Peoples’ health and wellbeing in Australia, and how they reflect the action areas of the Ottawa Charter for Health Promotion and social justice",,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Evaluate initiatives in terms of their capacity to improve health outcomes of Aboriginal and Torres Strait Islander Peoples and promote social justice,,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Evaluate the impact of initiatives to promote healthy eating in Australia and their ability to improve health outcomes,,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Draw conclusions as to why nutritional improvements are difficult to achieve in Australia,,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 3,Australia’s health in a globalised world,VCEHHDU3AS2,,Area of Study 2 - Promoting health in Australia,,VCEHHDU3AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Analyse the role of Medicare, private health insurance, the PBS and the NDIS in promoting Australia’s health.",,1,9
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,The concept of human development,,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Advantages and limitations of the Human Development Index,,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Characteristics of low-, middle- and high-income countries",,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Similarities and differences in health status and human development in low-, middle- and high-income countries, including Australia",,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Factors that contribute to similarities and differences in health status and human development:,,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Access to safe water,,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Sanitation,,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Poverty,,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Discrimination (race, religion, sex, sexual orientation and gender identity)",,1,9
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"The concept and dimensions of sustainability (environmental, social and economic) and its role in the promotion of health and human development",,1,10
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Implications for health and human development of global trends including:,,1,11
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Climate change (rising sea levels, changing weather patterns and increasing number of extreme weather events)",,1,12
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Conflict,,1,13
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Mass migration,,1,14
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Increased world trade (global distribution and marketing of tobacco products, e-cigarette products and processed foods)",,1,15
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Tourism,,1,16
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Digital technologies.,,1,17
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain the concept of human development,,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain the Human Development Index and evaluate its usefulness in measuring human development in different countries,,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Describe characteristics of low-, middle- and high-income countries",,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Evaluate data to analyse similarities and differences between countries in relation to health status and human development,,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Analyse factors that contribute to health status and human development in different countries,,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Compare health data and other information to analyse reasons for health inequalities within and between countries,,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Explain sustainability (environmental, social and economic) and its importance in the promotion of health and human development in a global context",,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,,Area of Study 1 - Global health and human development,,VCEHHDU4AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Analyse the implications for health and human development of particular global trends.,,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,The importance of the UN’s SDGs for health and human development in a global context,,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Key features of SDG 3 (‘Ensure healthy lives and promote wellbeing for all at all ages’),,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Relationships between SDG 3 and SDGs 1, 2, 4, 5, 6 and 12",,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Goal and objectives of the WHO,,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"The purpose and characteristics of different types of aid, including bilateral, multilateral and aid provided by non-government organisations providing humanitarian assistance, reducing poverty, improving human development and promoting health)",,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,The role of Australia’s aid program in supporting the achievement of the SDGs and the partnerships involved,,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Features of effective aid programs,,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Ways in which individuals can engage with communities and/or national and international organisations to take individual and social action that promotes health and human development.,,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Discuss the importance of the UN’s SDGs for global health and human development,,1,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Describe the key features of SDG 3,,1,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Analyse the relationships between SDG 3 and other SDGs in promoting health and human development globally,,1,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Explain the goal and objectives of the WHO,,1,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Analyse how the WHO goal and objectives are reflected in different scenarios,,1,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,"Evaluate different types of aid and their effectiveness in providing humanitarian assistance, reducing poverty and improving human development and promoting health",,1,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Discuss how Australia’s aid program supports the achievement of the SDGs,,1,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Justify why Australia’s aid program is delivered through partnerships,,1,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Evaluate the effectiveness of aid programs in promoting health and human development,,1,9
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,,Area of Study 2 - Health and the Sustainable Development Goals,,VCEHHDU4AS2O2KS,Outcome 2,Health and Human Development Students,,Key Skills,Discuss ways of taking individual and social action to promote health and human development.,,1,10
